                                                                                                                                                                                                                                                          ,,,,,,,
"Source: USCIS, data as of Nov. 30, 2018. Notes: All data is based on petitions approved during the fiscal year for both initial employment and continuing employment. Petitions approved in a fiscal year may be filed in previous fiscal years. Per USCIS best practices, units of less than 10 beneficiaries are masked to limit the possibility of the de-anonymization of data. ""D"" represents data withheld to protect privacy. The letter ""H"" replaces the value from which one could deduce the value of ""D"". While some company names may appear multiple times, USCIS does not combine companies even where the names are the same because in all cases the employer tax identification numbers are different. Missing Education means the USCIS electronic data storage system does not capture the education field. Median salary is based on data reported by the petitioner in the petition and may include part-time employment or may be reported inaccurately. Because USCIS data systems do not include hours worked, we are unable to identify salaries earned from part-time employment. Instead of the required degree, a beneficiary may qualify based on a combination of education, training, and/or progressively responsible experience in the specialty that is equivalent to the completion of such a degree, and recognition of expertise in the specialty through progressively responsible positions directly related to the specialty. We excluded employers without tax identification numbers in our system. The H-1B petition may be used to sponsor an alien currently in a different nonimmigrant classification, or with no classification if outside the U.S., for an initial period of H-1B employment (see “initial employment” column below), or to extend or change the authorized stay of an alien currently in H-1B status (see “continuing employment” column below). An employer may file an H-1B petition to sponsor an alien who currently has H-1B nonimmigrant status working for another employer or to amend a previously approved petition; these petitions are counted in the “continuing employment” column below. Initial employment includes both cap-subject and cap-exempt petitions.",,,,,,,
Employer Tax ID     (Last 4 Digits),Employer Name, Number of Beneficiaries ,,, Median Salary , Beneficiary Degree/Dipolma ,
8992,RENAL ADVANTAGE INC A FRESENIUS,   , D , H ,"71,011", Bachelor's , D 
6989,CHINA TRAVEL CA INC,   , D , H ,"38,000", Bachelor's , D 
4001,AMERICAN FREIGHT LOGISTICS INC, D ,   , H ,"57,699", Bachelor's , D 
9805,HEALTH LINE INTERNATIONAL CORP,   , D , H ,"101,213", Master's , D 
9074,EMPLOYVISION INC,   , D , H ,"150,000", Bachelor's , D 
8160,LSK BIOPARTNERS INC,   , D , H ,"150,000", Bachelor's , D 
7069,SMILEBUILDERZ LLC,   , D , H ,"160,000", Professional Degree , D 
292,AXIA CONSULTING INC,   , D , H ,"115,000", Master's , D 
8125,VERVE WIRELESS INC,   , D , H ,"140,000", Master's , D 
3107,CREPES DE PARIS INC, D ,   , H ,"65,520", Master's , D 
4722,INTERSECTION PARENT INC, D ,   , H ,"115,000", Master's , D 
6161,FFW LLC F/K/A BLINK REACTION LLC,   , D , H ,"130,000", Bachelor's , D 
1601,ACTION REACTION PHYSICAL THERAPY,   , D , H ,"89,648", Master's , D 
882,VOBILE INC,   , D , H ,"102,000", Master's , D 
4868,PEOPLENTECH LLC,   , D , H ,"133,200", Bachelor's , D 
8520,INPATIENT CONSULTANTS OF MICHIGAN,   , D , H ,"115,000", Doctorate , D 
4632,ROAM DATA INC,   , D , H ,"125,000", Bachelor's , D 
9565,AERIE PHARMACEUTICALS INC,   , D , H ,"98,262", Master's , D 
9118,TEMPEST TELECOM SOLUTIONS LLC,   , D , H ,"90,000", Master's , D 
6176,KANA PARTNERS LLC DBA M STAR HOTEL,   , D , H ,"74,000", Master's , D 
8993,LEGAL ADVANTAGE LLC,   , D , H ,"120,000", Master's , D 
6690,INTL COUNCIL ON CLEAN TRANSPORTATI, D ,   , H ,"85,000", Doctorate , D 
5737,VIVO CAPITAL LLC,   , D , H ,"105,735", Master's , D 
3733,SIDYUTA CONSULTING INC, D ,   , H ,"64,000", Master's , D 
9258,H AND C SYSTEMS INC,   , D , H ,"37,541", Master's , D 
5295,KIM & WATANABE DENTAL CORP DBA MY,   , D , H ,"175,000", Professional Degree , D 
8744,UNITED STRUCTURAL WORKS INC, D ,   , H ,"64,106", Bachelor's , D 
7343,NEW HEIGHTS ACADEMY CHARTER SCHOOL, D ,   , H ,"60,704", Master's , D 
6577,ENTECH CONSULTING CORPORATION, D ,   , H ,"66,040", Master's , D 
4967,LETUIE LLC, D ,   , H ,"83,400", Master's , D 
4197,NITYO INFOTECH CORP,   , D , H ,"120,000", Bachelor's , D 
1472,COMPUTER SOLNS & TECHNOLOGIES LLC,   , D , H ,"85,000", Master's , D 
1198,BENCHMARK THERAPIES INC,   , D , H ,"75,000", Bachelor's , D 
924,SOUND INPATIENT PHYSICIANS INC,   , D , H ,"71,500", Master's , D 
5668,LIVING PROOF INC,   , D , H ,"95,000", Master's , D 
4423,KWAN ACADEMY AND MUSIC,   , D , H ,"20,800", Master's , D 
3933,TEARSCIENCE INC,   , D , H ,"74,149", Bachelor's , D 
1792,LEHIGH VALLEY ORAL & MAXILLOFACIAL,   , D , H ,"255,000", Professional Degree , D 
1477,NECTAR SERVICES CORP,   , D , H ,"144,000", Master's , D 
1144,GASTRO CENTER OF MARYLAND LLC,   , D , H ,"360,000", Professional Degree , D 
8479,CONTINENTAL FINANCE COMPANY LLC, D ,   , H ,"45,000", Bachelor's , D 
6879,SAGE IT INC,   , D , H ,"94,000", Master's , D 
6863,CUENCA LOS OJOS FDN TRUST,   , D , H ,"60,000", Bachelor's , D 
6543,NSR CONSULTING ENGINEERING LLC, D ,   , H ,"50,000", Master's , D 
6046,PYTHAGORAS INVESTMENT MGT LLC, D ,   , H ,"60,000", Master's , D 
3134,ONFORCE INC,   , D , H ,"108,000", Master's , D 
8188,HEINEKEN AMERICAS INC,   , D , H ,"148,000", Master's , D 
6963,INFOOBJECTS INC,   , D , H ,"120,000", Master's , D 
5937,MALAX SOLUTIONS INC,   , D , H ,"70,000", Master's , D 
3339,INTUEOR CONSULTING INC,   , D , H ,"120,640", Master's , D 
7711,SICHER GLOBAL SOLUTIONS INC,   , D , H ,"150,000", Bachelor's , D 
4069,PCMI CORPORATION,   , D , H ,"81,250", Master's , D 
1657,STREETLINE INC,   , D , H ,"165,000", Master's , D 
4107,SINOMAX USA INC,   , D , H ,"48,600", Master's , D 
3280,STELLA MARIS LLC,   , D , H ,"83,400", Master's , D 
1031,FARMERS UNION INDUSTRIES LLC, D ,   , H ,"56,400", Master's , D 
9870,DANVILLE PHYSICIAN PRACTICES LLC,   , D , H ,"26,992", Professional Degree , D 
4830,INVENT IT SOLUTIONS INC,   , D , H ,"86,000", Master's , D 
2728,ADVANCED TECHNOLOGY GROUP INC,   , D , H ,"100,000", Bachelor's , D 
9754,TECHNOLOGY PROJECTS, D ,   , H ,"68,000", Master's , D 
8930,AMG & ASSOCIATES INC,   , D , H ,"91,146", Master's , D 
7730,SAVOIR FAIRE LANGUAGE INSTITUTE IN, D ,   , H ,"37,440", Master's , D 
6093,AEGIS SERVICE CORP, D ,   , H ,"54,642", Master's , D 
5645,CHANDELIER CREATIVE INC,   , D , H ,"375,000", Bachelor's , D 
4399,MERITEL GROUP LLC, D ,   , H ,"80,000", Master's , D 
1562,MOBO SYSTEMS INC DBA OLO, D ,   , H ,"61,200", Master's , D 
1454,RISHI AND SRIKANTH PA,   , D , H ,"200,000", Professional Degree , D 
684,SAGITEC SOLUTIONS LLC,   , D , H ,"88,000", Master's , D 
9588,INTERLOC SOLUTIONS INC,   , D , H ,"100,000", Bachelor's , D 
6648,ALEVAR TECHNOLOGIES INC, D ,   , H ,"67,000", Master's , D 
6069,DK EXPRESS INC, D ,   , H ,"33,696", Master's , D 
4893,BROADWAY CHINA ADVENTURES LLC,   , D , H ,"70,000", Master's , D 
1207,ROBERT GRAHAM DESIGNS LLC,   , D , H ,"100,028", Bachelor's , D 
116,AEGERION PHARMACEUTICALS INC,   , D , H ,"131,747", Master's , D 
97,SHAMIN ABAS PUBLIC RELATIONS & SPC, D ,   , H ,"55,000", Bachelor's , D 
8065,GOOD VALUE FOOD INC DBA DABBAWALLA,   , D , H ,"54,205", Bachelor's , D 
8293,SOUTHEASTERN CARDIOLOGY ASSO P C,   , D , H ,"520,000", Professional Degree , D 
2221,MORTGAGE CONTRACTING SERVICES LLC,   , D , H ,"111,436", Master's , D 
1902,DOCKWISE ENGINEERING SVCS LLC,   , D , H ,"129,600", Master's , D 
9845,AUDIOEYE INC, D ,   , H ,"60,528", Master's , D 
6318,KNIGHT LOGISTICS LLC,   , D , H ,"66,500", Bachelor's , D 
5692,MCLEOD PHYSICIAN ASSOCIATES II,   , D , H ,"440,000", Doctorate , D 
4437,CARTERA COMMERCE INC,   , D , H ,"63,446", Master's , D 
3200,DEMANDBASE INC, D ,   , H ,"125,000", Master's , D 
767,ELIRE INC,   , D , H ,"135,000", Bachelor's , D 
8709,BAYCARE URGENT CARE LLC,   , D , H ,"180,000", Professional Degree , D 
7301,SOUTHSIDE BUS TECH CTR INC DBA THE,   , D , H ,"115,000", Master's , D 
8021,LB ELECTRIC CO INC, D ,   , H ,"49,525", Master's , D 
2875,KAVI ASSOCIATES LLC, D ,   , H ,"60,000", Master's , D 
2344,LOUDOUN GYMNASTICS CENTER INC,   , D , H ,"140,000", Master's , D 
1414,LBC CREDIT PARTNERS INC,   , D , H ,"175,000", Master's , D 
885,GALVAO PAVERS LLC,   , D , H ,"60,000", Bachelor's , D 
7226,IMMIGRANT INVESTORS ASSOC INC DBA, D ,   , H ,36, Master's , D 
5453,XIMEDICA LLC,   , D , H ,"113,999", Doctorate , D 
7733,MARVEL STUDIO LLC PART OF THE WALT,   , D , H ,"160,000", Master's , D 
3414,H MART MIDWEST CORP,   , D , H ,"66,492", Master's , D 
2277,STORMWATER PLANS LLC, D ,   , H ,"52,000", Master's , D 
6598,KIDS CHOICE DENTAL OF AURORA PC,   , D , H ,"136,219", Professional Degree , D 
4739,PCM LOGISTICS LLC,   , D , H ,"131,763", Bachelor's , D 
2585,INCENTIVE TECHNOLOGY GROUP LLC,   , D , H ,"155,000", Master's , D 
1575,ANDREW WILDER INC, D ,   , H ,"65,000", Master's , D 
9678,INFINITY CONTRACTING SERVICES CORP, D ,   , H ,"40,000", Master's , D 
8708,CARL K SUN CPA LLC, D ,   , H ,"53,000", Master's , D 
8094,PI ANALYTICS LLC, D ,   , H ,"85,000", Master's , D 
7685,SRICHAKRA VISION INC, D ,   , H ,"92,400", Master's , D 
1077,JUSTIN OH CPA ASSOCIATES,   , D , H ,"40,187", Bachelor's , D 
1010,LEAGUE TRADING LLC, D ,   , H ,"52,666", Master's , D 
9265,SE BILLING MANAGEMENT INC,   , D , H ,"60,000", Master's , D 
8580,CELEBRITY CASINOS INC DBA CRYSTAL, D ,   , H ,"48,500", Master's , D 
2862,KORCOMPTENZ INC,   , D , H ,"102,149", Bachelor's , D 
5550,NOVA TECH ENGINEERING LLC,   , D , H ,"63,731", Bachelor's , D 
362,PEDIATRICS 2000 207 PLLC, D ,   , H ,"145,000", Professional Degree , D 
9428,ENTERPRISE FOR A SUSTAINABLE WORLD,   , D , H ,"84,000", Master's , D 
6394,BAZELLA STEAR CONCRETE & MASONARY, D ,   , H ,"52,000", Master's , D 
5920,SRC ENERGY INC,   , D , H ,"165,500", Bachelor's , D 
751,SANDS CAPITAL MANAGEMENT LLC,   , D , H ,"110,000", Bachelor's , D 
1681,BIOCLINICA INC,   , D , H ,"100,379", Master's , D 
8567,TEXASBACK INSTITUTE,   , D , H ,"150,000", Master's , D 
5527,APOGEE MEDICAL GRP MISSOURI INC, D ,   , H ,"240,000", Professional Degree , D 
3059,OGRE SYSTEMS INC,   , D , H ,"84,393", Doctorate , D 
2105,DC BARS INC,   , D , H ,"70,000", Master's , D 
8105,ANRAY INTL CORPORATION DBA ASTRA R,   , D , H ,"51,397", Master's , D 
1747,REVEAL USA INC,   , D , H ,"149,917", Bachelor's , D 
9892,ACUPUNCTURE HEALING CLINIC INC,   , D , H ,"54,000", Master's , D 
9149,DOLPHIN LOGISTICS INC, D ,   , H ,"56,160", Master's , D 
7503,COMPASSHOLDINGS INC,   , D , H ,"85,259", Bachelor's , D 
5993,SPEAR PHYSICAL THERAPY PLLC, D ,   , H ,"73,500", Doctorate , D 
2092,JMI MANAGEMENT INC, D ,   , H ,"120,000", Master's , D 
1981,KELLNER HERLIHY GETTY & FRIEDMAN L, D ,   , H ,"57,000", Master's , D 
8792,BANESCO USA,   , D , H ,"110,000", Master's , D 
7335,CHINAKAS PHARMACY INC DBA DAY ST,   , D , H ,"86,814", Bachelor's , D 
2887,TS WORLDWIDE LLC,   , D , H ,"72,000", Bachelor's , D 
4966,SHRIA MANAGEMENT LLC,   , D , H ,"60,902", Master's , D 
2636,FANNIE MAE,   , D , H ,"116,550", Doctorate , D 
6918,ACH FOAM TECHNOLOGIES INC, D ,   , H ,"67,000", Master's , D 
1444,BOX INC,   , D , H ,"190,000", Master's , D 
275,JARUS TECHNOLOGIES INC,   , D , H ,53, Bachelor's , D 
3640,BENTLEY BRATCHER & ASSOCIATES PC, D ,   , H ,"55,200", Master's , D 
3217,SMART TRADE TECHNOLOGIES USA LLC,   , D , H ,"100,400", Master's , D 
7252,DEFINIENS INC, D ,   , H ,"80,600", Master's , D 
6770,ALTIMMUNE INC,   , D , H ,"118,000", Doctorate , D 
6926,CEP BIO COAT LLC D/B/A ORCHID DETR, D ,   , H ,"66,625", Master's , D 
3187,DENTAL DELIVERY SYS PA DBA DENTAL,   , D , H ,"208,000", Professional Degree , D 
2894,GOTSOCCER LLC,   , D , H ,"52,500", Master's , D 
2800,BEVERLY MGMT GRP INC, D ,   , H ,"48,256", Master's , D 
5743,NUEVORA INC, D ,   , H ,"95,000", Master's , D 
3568,ABRUZZO DOCG INC DBA TARALLUCCI E,   , D , H ,"71,469", Bachelor's , D 
3026,BENTEK HOLDING CORPORATION, D ,   , H ,"80,000", Master's , D 
2655,HEALTH ADVANCEMENT COLLABORATIVE O, D ,   , H ,"65,000", Master's , D 
882,SK RESOURCE MGT LLC DBA SK CAPITAL,   , D , H ,"110,000", Bachelor's , D 
8302,GENERIC NETWORK SYSTEMS LLC, D ,   , H ,"74,000", Master's , D 
2623,EXBON DEVELOPMENT INC, D ,   , H ,"69,555", Master's , D 
2933,VIDYO INC,   , D , H ,"95,000", Master's , D 
9700,HUMAN RIGHTS FOUNDATION INC, D ,   , H ,"74,526", Master's , D 
3604,DAVIS-STANDARD LLC,   , D , H ,"107,433", Master's , D 
1861,AMAZON COM AZDC LLC,   , D , H ,"99,440", Master's , D 
7945,MIT ASSOCS INC DBA MONTESSORI IN T, D ,   , H ,"35,290", Master's , D 
6029,ICONTROL SYSTEMS USA LLC,   , D , H ,"94,500", Master's , D 
651,INTELLECT IT LLC,   , D , H ,"117,000", Master's , D 
9040,D EXPOSITO PARTNERS LLC,   , D , H ,"110,000", Bachelor's , D 
7668,EXSILIO CONSULTING INC, D ,   , H ,"53,000", Master's , D 
9462,BIOMETRICS4ALLS INC,   , D , H ,"80,000", Bachelor's , D 
8738,CONTROLLED PRODUCTS LLC, D ,   , H ,"71,500", Master's , D 
8469,PEAFOWL INC,   , D , H ,"90,000", Master's , D 
5373,TRICADIA HOLDINGS LP,   , D , H ,"112,000", Master's , D 
5363,SOUTHWEST HEART PC, D ,   , H ,"360,000", Professional Degree , D 
4677,FIDUCIARY TECHNOLOGY PARTNERS LLC,   , D , H ,"120,000", Master's , D 
3153,DISCOVERY RANCH LLC, D ,   , H ,"57,789", Master's , D 
118,DATA WAREHOUSE CONSULTANTS LLC,   , D , H ,"91,650", Master's , D 
2913,RICKY BRAR D D S INC, D ,   , H , -   , Professional Degree , D 
50,ADVANCESOFT INC,   , D , H ,"77,100", Bachelor's , D 
8868,CY FAIR MUSIC & ARTS INC, D ,   , H ,29, Master's , D 
8682,CY-FAIR MUSIC & ARTS INC, D ,   , H ,"22,859", Master's , D 
6453,INPATIENT SVCS OF WASHINGTON P C A,   , D , H ,"81,120", Professional Degree , D 
9480,DFW DATA ASSOCIATION INC,   , D , H ,37, Master's , D 
2285,LEGACY FINANCIAL ADVISORS INC, D ,   , H ,"37,219", Master's , D 
2193,STRIVE PREPARATORY SCHOOLS,   , D , H ,"64,771", Master's , D 
520,WALLEYE TRADING ADVISORS LLC,   , D , H ,"150,000", Master's , D 
9798,JUHLL INC,   , D , H ,"80,028", Master's , D 
7155,GB MANUFACTURING CO, D ,   , H ,"55,952", Master's , D 
5825,SMARTSHIFT TECHNOLOGIES INC,   , D , H ,"95,000", Master's , D 
4487,MES AMIS FRENCH SCHOOL L L C, D ,   , H ,14, Bachelor's , D 
9347,WATKIN DENTAL ASSOCIATES DDS PC,   , D , H ,"143,000", Professional Degree , D 
196,PALO ALTO NETWORKS INC,   , D , H ,"165,000", Master's , D 
4259,SUDDHA PHARMACY LLC DBA FEDCO,   , D , H ,"108,000", Master's , D 
8804,AJX INC DBA EXIT DESIGN, D ,   , H ,"43,000", Bachelor's , D 
4044,PAINFUL PLEASURES INC, D ,   , H ,"52,223", Master's , D 
1553,BUFFALO SAV INC,   , D , H ,"41,000", Bachelor's , D 
7782,MAYEKAWA USA INC,   , D , H ,"142,000", Some College , D 
3019,PALO ALTO NETWORKS INC,   , D , H ,"140,000", Master's , D 
9348,YOUR SOLUTIONWARE INC,   , D , H ,"70,000", Bachelor's , D 
9031,VERRAZANO CONSULTING SOLUTIONS LLC,   , D , H ,"190,000", Bachelor's , D 
7734,DYSON TECHNICAL SERVICES INC, D ,   , H ,"75,000", Master's , D 
4961,HGE CONSULTING INC,   , D , H ,"82,638", Bachelor's , D 
5732,TOPIX LLC, D ,   , H ,"130,000", Doctorate , D 
4445,SAXON INFOTECH INC,   , D , H ,"95,000", Master's , D 
442,WORKDAY INC,   , D , H ,"125,000", Master's , D 
9246,CORINTHIAN CAPITAL GROUP LLC,   , D , H ,"120,000", Bachelor's , D 
8781,HIRSCHMANN CAR COMMUNICATION INC,   , D , H ,"88,433", Master's , D 
6193,EZDATA SYSTEMS INC, D ,   , H ,"89,232", Master's , D 
5922,UNIFY SYSTEMS INC,   , D , H ,"50,000", Bachelor's , D 
3325,ENERGY EXEMPLAR LLC,   , D , H ,"95,000", Doctorate , D 
3898,ALPHATEC HOLDINGS INC, D ,   , H ,"83,500", Master's , D 
2471,DIGITALFISH INC,   , D , H ,"120,000", Master's , D 
1104,THE NET DOCTOR INC, D ,   , H ,"45,000", Bachelor's , D 
1073,MODAVAR PHARMACEUTICALS LLC,   , D , H ,"125,000", Master's , D 
7063,IT MANAGEMENT INC,   , D , H ,"79,760", Master's , D 
1259,KORCHINA LOGISTICS USA INC, D ,   , H ,"29,848", Bachelor's , D 
1154,VALUE GROUP ENTERPRISES DBA SSR MO,   , D , H ,"54,000", Master's , D 
8190,HIREVUE INC, D ,   , H ,"90,000", Bachelor's , D 
6804,ARMSTRONG PROCESS GRP INC,   , D , H ,"90,000", Master's , D 
2256,ARS ADVERTISING GRP LLC DBA AISLE,   , D , H ,"56,000", Master's , D 
83,MESTECH SERVICES LLC,   , D , H ,"77,917", Master's , D 
1778,WATERFALL ASSET MANAGEMENT LLC,   , D , H ,"190,000", Master's , D 
191,TOWERBROOK CAPITAL PARTNERS LP, D ,   , H ,"110,000", Bachelor's , D 
7686,ACBB BITS LLC,   , D , H ,"139,833", Master's , D 
6625,LOGILE INC, D ,   , H ,"63,000", Bachelor's , D 
2055,SAGARD CAPITAL PARTNERS MGT CORP,   , D , H ,"177,975", Master's , D 
1133,FONTAINEBLEAU FLORIDA HOTEL INC,   , D , H ,"93,636", Bachelor's , D 
243,HENNIS INTERNATIONAL INC, D ,   , H ,"50,000", Master's , D 
142,RESTORE NYC, D ,   , H ,"59,000", Master's , D 
9214,PARIS BAGUETTE USA INC,   , D , H ,"47,308", Bachelor's , D 
5625,VISALUS INC,   , D , H ,"144,000", Bachelor's , D 
1863,PRONTO MONEY TRANSFER INC DBA PONT, D ,   , H ,"96,000", Bachelor's , D 
8765,THE COMMUNICATIONS FACTORY LLC, D ,   , H ,"38,000", Master's , D 
6855,FLOOR SUPPLIERS INC,   , D , H ,"75,000", Bachelor's , D 
5944,LUCCELLO INC,   , D , H ,"26,000", Bachelor's , D 
934,WOUNDED WARRIOR PROJECT INC,   , D , H ,"75,546", Master's , D 
9070,ATLANTIS PHYSICAL THERAPY GRP INC,   , D , H ,"100,000", Doctorate , D 
4347,MYCOMETRICS LLC, D ,   , H ,"39,900", Master's , D 
3890,AZIO CORPORATION, D ,   , H ,"54,000", Bachelor's , D 
3223,FANT REICHERT & FOGLEMAN INC, D ,   , H ,"59,500", Master's , D 
8681,MOON GOLF PROPERTIES LTD DBA COYOT, D ,   , H ,25, Master's , D 
5941,CAELYNX LLC, D ,   , H ,"72,509", Master's , D 
1134,NHN GLOBAL INC,   , D , H ,"59,000", Bachelor's , D 
3088,SMITHFIELD STRATEGIC SOURCING AND,   , D , H ,"113,270", Master's , D 
2575,JAPNA INC, D ,   , H ,"64,584", Bachelor's , D 
6599,C3D ARCHITECTURE PLLC, D ,   , H ,"50,000", Bachelor's , D 
1722,REVOLUTION GLOBAL CONSULTING SVCS,   , D , H ,"75,000", Bachelor's , D 
337,SHETH TAX AND ACCOUNTING SERVICE,   , D , H ,"78,000", Bachelor's , D 
5776,S V AMPLIFY SYSTEMS LLC,   , D , H ,"60,944", Master's , D 
8758,RASIKA LLC,   , D , H ,"60,424", Bachelor's , D 
8277,STONERIVER INC,   , D , H ,"110,000", Bachelor's , D 
6389,LAB USA INC,   , D , H ,27, Bachelor's , D 
2577,API HEAT TRANSFER INC, D ,   , H ,"65,000", Master's , D 
1128,PERFORMIX INC,   , D , H ,"91,000", Bachelor's , D 
1047,HARSHA INVESTMENTS LLC,   , D , H ,"41,288", Master's , D 
8027,ASTELLAS PHARMA US INC, D ,   , H ,"325,400", Doctorate , D 
7213,KIPP NEW ORLEANS INC, D ,   , H ,"90,000", Master's , D 
5479,PHREESIA INC,   , D , H ,"185,000", Master's , D 
5049,ELEPHANT BYTES INC,   , D , H ,"97,843", Master's , D 
2079,ADVION INC,   , D , H ,"58,947", Master's , D 
9614,SUN WORLD INTL LLC, D ,   , H ,"70,000", Doctorate , D 
8821,AMA CAPITAL PARTNERS LLC,   , D , H ,"115,000", Master's , D 
8771,LOGICMANAGER INC, D ,   , H ,"113,000", Master's , D 
5103,BHARAT R MAGDALIA CPA PC, D ,   , H ,27, Bachelor's , D 
2101,INTENSIVE CARE CONSORTIUM INC, D ,   , H ,"356,400", Professional Degree , D 
6400,SWEEPSTER ATTACHMENTS LLC,   , D , H ,"103,000", Master's , D 
6326,SIC CONSULTING LLC DBA 1 RIVET,   , D , H ,"140,000", Master's , D 
9460,FORYOUPARTY COM, D ,   , H ,"35,360", Master's , D 
8997,CINC SYSTEMS LLC,   , D , H ,"78,000", Master's , D 
6994,ARMORSOURCE LLC,   , D , H ,"162,800", Master's , D 
4602,CHINA TRAVEL AND TOUR INC D/B/A RE,   , D , H ,"40,000", Master's , D 
3417,LYMBA CORPORATION, D ,   , H ,"69,000", Master's , D 
563,NISTICA INC,   , D , H ,"95,000", Master's , D 
9275,VISION STREAM LLC, D ,   , H ,"93,642", Master's , D 
6683,BRIXTON LLC,   , D , H ,"75,000", Bachelor's , D 
2985,AMEDISYS MARYLAND LLC,   , D , H ,"86,320", Master's , D 
8626,JAMES WORLDWIDE INC,   , D , H ,24, Bachelor's , D 
7309,THE CAROUSEL OF LANGUAGES LLC, D ,   , H ,"38,016", Master's , D 
7022,THE 400 PEOPLE INC, D ,   , H ,"66,000", Master's , D 
5114,CATALYST REPOSITORY SYSTEMS,   , D , H ,"115,000", Master's , D 
7030,LIBERTY GLOBAL INC,   , D , H ,"147,300", Master's , D 
2979,THE MASCHHOFFS LLC,   , D , H ,"107,900", Doctorate , D 
1470,BRINKMAN CONSTRUCTION INC,   , D , H ,"70,000", Master's , D 
222,LOGIC4G SOLUTIONS INC,   , D , H ,"90,000", Bachelor's , D 
8702,STRUCTURE LAW GROUP LLP, D ,   , H ,"110,240", Professional Degree , D 
8610,CREDIT MARKET ANALYSIS USA INC, D ,   , H ,"60,000", Master's , D 
4546,BRIGHTEK INC,   , D , H ,"52,811", Master's , D 
6636,INLAND WOODS INC,   , D , H ,"32,760", Master's , D 
3365,ANAQUA INC,   , D , H ,"82,000", Master's , D 
2351,PERINT SARIMBA INC,   , D , H ,"90,000", Bachelor's , D 
792,DONGBU TOUR AND TRAVEL INC, D ,   , H ,"46,675", Bachelor's , D 
6088,SCICOM INFRASTRUCTURES SERVICES IN,   , D , H ,"105,000", Master's , D 
1833,TEXAS STAR VETERINARY P C,   , D , H ,"90,000", Professional Degree , D 
5584,GREEN CONVEYOR & MACHINE GROUP LLC, D ,   , H ,"55,786", Master's , D 
2942,TRUTOUCH TECHNOLOGIES INCORPORATED,   , D , H ,"105,000", Doctorate , D 
3699,ARBOR REALTY SR INC, D ,   , H ,"122,100", Master's , D 
3049,ANDREW L PETTIT ARCHITECT, D ,   , H ,"47,856", Master's , D 
233,SEARCH AGENCY INC,   , D , H ,"57,000", Master's , D 
199,PALATINE TECH GROUP INC,   , D , H ,"74,000", Master's , D 
2374,EBIZ PC INC, D ,   , H ,"70,000", Master's , D 
798,NOVASTAR APPRAISALS INC,   , D , H ,"94,000", Master's , D 
709,REINHART FOODSERVICE LLC,   , D , H ,"110,000", Master's , D 
7540,STRUKTUR STUDIO LLC, D ,   , H ,"55,765", Master's , D 
4629,NEUROLEADERSHIP INSTITUTE INC,   , D , H ,"80,000", Master's , D 
3999,LINDNER USA INC,   , D , H ,"45,000", Master's , D 
3214,WRIGHTSPEED INC,   , D , H ,"120,806", Master's , D 
255,BRICKHOUSE ELECTRONICS LLC,   , D , H ,"45,207", Bachelor's , D 
186,WILSON GLOBAL COMMUNICATIONS LLC,   , D , H ,"45,386", Master's , D 
9501,CLOSED CAPTION LATINA CORP DBA,   , D , H ,"61,500", Bachelor's , D 
8747,TURN INC,   , D , H ,"132,000", Master's , D 
3867,GEOFFREY M BREMER AN ACCOUNTANCY,   , D , H ,"66,893", Master's , D 
3144,FIS GROUP,   , D , H ,"80,000", Master's , D 
9243,MICHAEL WINSTANLEY ARCHITECTS & P, D ,   , H ,"50,871", Master's , D 
7796,MIDWEST DENTAL OF ILLINOIS LLC, D ,   , H ,"140,000", Professional Degree , D 
7129,QUONTIC BANK,   , D , H ,"43,917", Master's , D 
6004,CONTINENTAL ANESTHESIA LTD,   , D , H ,"300,000", Professional Degree , D 
2882,AGILITY TECHNOLOGIES INC,   , D , H ,"117,996", Bachelor's , D 
2663,PT SOLUTIONS HOLDINGS LLC,   , D , H ,"69,500", Doctorate , D 
446,PARTNERSHIP COMMUNITY HEALTH CENTE, D ,   , H ,"154,461", Professional Degree , D 
6447,ICSYNERGY INTERNATIONAL LP,   , D , H ,"100,000", Master's , D 
969,IT LABS INC,   , D , H ,"92,019", Master's , D 
9118,24-7 INTERNATIONAL LLC, D ,   , H ,"40,000", Bachelor's , D 
8972,ZOLA MEDIA LLC, D ,   , H ,"70,000", Bachelor's , D 
3316,NATIONAL HEALTH CARE SOLUTIONS INC,   , D , H ,"95,700", Master's , D 
8708,INTERPRO SOLUTIONS LLC,   , D , H ,"72,000", Master's , D 
6295,SERVICENOW INC, D ,   , H ,"124,000", Master's , D 
5289,VISANTECH SOLUTIONS LC,   , D , H ,"110,000", Master's , D 
1854,HEXAGON LINCOLN LLC,   , D , H ,"85,000", Master's , D 
1416,MONTESSORI CHILDREN S ACADEMY INC, D ,   , H ,"30,284", Master's , D 
229,US HOTEL NEW ENGLAND LLC DBA THE W, D ,   , H ,"45,760", Bachelor's , D 
6213,INTERPLEX GROUP SERVICES LLC,   , D , H ,"90,000", Master's , D 
5102,MEDICREA USA CORP, D ,   , H ,"69,154", Master's , D 
6476,RICHARD DESIGN SERIVCES INC,   , D , H ,"93,600", Master's , D 
6133,GREATHEART ACADEMIES DBA TRIVIUM P, D ,   , H ,"36,855", Master's , D 
2626,OGILVY COMMONHEALTH WORLDWIDE,   , D , H ,"67,958", Bachelor's , D 
9170,THE WHITE RIBBON ALLIANCE FOR SAFE,   , D , H ,"116,699", Bachelor's , D 
